date,Open,High,Low,Close ,Adj Close ,Volume,Return,Volatality
1-Jan-25,"19,923.07","21,800.52","19,833.82","21,732.05","21,732.05","1,419,143,600",,
1-Dec-24,"19,586.17","20,522.82","19,568.50","19,909.14","19,909.14","1,114,142,900",0.241968181,
1-Nov-24,"19,093.99","19,640.15","18,812.53","19,626.45","19,626.45","1,415,336,600",-0.239281973,1.178817317
1-Oct-24,"19,409.39","19,674.68","18,911.72","19,077.54","19,077.54","1,217,257,300",0.150767169,0.885502873
1-Sep-24,"18,913.53","19,491.93","18,208.84","19,324.93","19,324.93","1,393,399,300",-0.135146088,0.69961276
1-Aug-24,"18,432.50","18,970.71","17,024.82","18,906.92","18,906.92","1,019,460,800",0.312472441,0.78518448
1-Jul-24,"18,236.35","18,779.40","18,030.49","18,508.65","18,508.65","1,184,268,300",-0.149851255,0.910298621
1-Jun-24,"18,503.79","18,784.65","17,951.17","18,235.45","18,235.45","1,331,569,800",-0.117233431,0.893816827
1-May-24,"17,935.78","18,892.92","17,875.98","18,497.94","18,497.94","1,491,744,800",-0.113587895,0.069169989
1-Apr-24,"18,492.36","18,567.16","17,626.90","17,932.17","17,932.17","1,554,583,300",-0.041261094,0.148433501
1-Mar-24,"17,793.47","18,513.83","17,619.40","18,492.49","18,492.49","1,555,272,300",-0.000443107,0.19848938
1-Feb-24,"16,834.13","17,742.48","16,821.60","17,678.19","17,678.19","1,473,538,600",0.053983924,0.165529593
1-Jan-24,"16,828.75","16,999.58","16,345.02","16,903.76","16,903.76","1,469,221,100",0.002934323,0.105638729
1-Dec-23,"16,296.92","17,003.28","16,279.45","16,751.64","16,751.64","1,316,521,100",0.109739669,0.185052139
1-Nov-23,"14,851.96","16,262.96","14,786.32","16,215.43","16,215.43","1,623,479,000",-0.20957865,0.563086734
1-Oct-23,"15,439.96","15,575.28","14,630.21","14,810.34","14,810.34","1,510,326,000",0.072245856,0.604640435
1-Sep-23,"15,936.34","15,989.30","15,138.66","15,386.58","15,386.58","1,478,334,200",0.021409608,0.520317119
1-Aug-23,"16,414.79","16,430.66","15,468.65","15,947.08","15,947.08","1,354,111,400",0.087770467,0.120242266
1-Jul-23,"16,187.91","16,528.97","15,456.16","16,446.83","16,446.83","1,335,165,400",0.014090267,0.140613715
1-Jun-23,"15,744.01","16,427.42","15,713.70","16,147.90","16,147.90","1,657,208,000",-0.216079079,0.549056002
1-May-23,"15,950.36","16,331.94","15,629.12","15,664.02","15,664.02","1,515,731,000",0.089236428,0.551076097
1-Apr-23,"15,623.45","15,922.38","15,482.88","15,922.38","15,922.38","1,230,000,900",0.20888293,0.759112052
1-Mar-23,"15,399.91","15,706.37","14,458.39","15,628.84","15,628.84","2,329,276,000",-0.638542589,1.58877789
